gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
43389.300,33.7139160,73.0883498,555.20,0.000,0.000,0.80,17
43389.400,33.7139160,73.0883498,555.20,0.000,0.000,0.80,17
43389.500,33.7139162,73.0883498,555.20,0.000,0.000,0.80,17
43389.600,33.7139162,73.0883498,555.20,0.000,0.000,0.80,17
43389.700,33.7139163,73.0883498,555.20,0.000,0.000,0.80,17
43389.800,33.7139163,73.0883497,555.20,0.000,0.000,0.80,17
43389.900,33.7139163,73.0883497,555.20,0.000,0.000,0.80,17
43390.000,33.7139165,73.0883497,555.20,0.000,0.000,0.80,17
43390.200,33.7139165,73.0883497,555.20,0.000,0.000,0.80,17
43390.300,33.7139167,73.0883497,555.20,0.000,0.000,0.80,17
43390.400,33.7139167,73.0883495,555.20,0.000,0.000,0.80,17
43390.500,33.7139168,73.0883495,555.20,0.000,0.000,0.80,17
43390.600,33.7139168,73.0883495,555.20,0.000,0.000,0.80,17
43390.800,33.7139168,73.0883495,555.20,0.000,0.000,0.80,17
43390.900,33.7139170,73.0883493,555.20,0.000,0.000,0.80,17
43391.000,33.7139170,73.0883493,555.20,0.000,0.000,0.80,17
43391.100,33.7139170,73.0883493,555.20,0.000,0.000,0.80,17
43391.200,33.7139172,73.0883493,555.20,0.000,0.000,0.80,17
43391.300,33.7139172,73.0883492,555.20,0.000,0.000,0.80,17
43391.500,33.7139173,73.0883492,555.20,0.000,0.000,0.80,17
43391.600,33.7139173,73.0883492,555.20,0.000,0.000,0.80,17
43391.700,33.7139173,73.0883490,555.20,0.000,0.000,0.80,17
43391.800,33.7139175,73.0883490,555.20,0.000,0.000,0.80,17
43391.900,33.7139175,73.0883490,555.20,0.000,0.000,0.80,17
43392.000,33.7139177,73.0883488,555.20,0.000,0.000,0.80,17
43392.100,33.7139177,73.0883488,555.20,0.000,0.000,0.80,17
43392.200,33.7139178,73.0883488,555.20,0.000,0.000,0.80,17
43392.400,33.7139178,73.0883487,555.20,0.000,0.000,0.80,17
43392.500,33.7139178,73.0883487,555.20,0.000,0.000,0.80,17
43392.600,33.7139180,73.0883487,555.20,0.000,0.000,0.80,17
