gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
555296.000,33.6069818,73.1000697,542.80,0.005,0.000,0.79,11
555297.000,33.6069818,73.1000697,542.80,0.000,0.000,0.79,11
555298.000,33.6069818,73.1000697,542.80,0.000,0.000,0.79,11
555299.000,33.6069818,73.1000697,542.80,0.005,0.000,0.79,11
555300.000,33.6069820,73.1000697,542.80,0.005,0.000,0.79,11
555301.000,33.6069820,73.1000697,542.80,0.000,0.000,0.79,11
555302.000,33.6069820,73.1000697,542.80,0.000,0.000,0.79,11
555303.000,33.6069820,73.1000697,542.80,0.005,0.000,0.79,11
555304.000,33.6069820,73.1000697,542.90,0.000,0.000,0.79,11
555305.000,33.6069820,73.1000698,542.90,0.000,0.000,0.79,11
555306.000,33.6069820,73.1000698,542.90,0.000,0.000,0.79,11
555307.000,33.6069822,73.1000698,542.90,0.000,0.000,0.79,11
555308.000,33.6069822,73.1000697,542.90,0.000,0.000,0.79,11
555309.000,33.6069822,73.1000697,542.90,0.000,0.000,0.79,11
555310.000,33.6069822,73.1000697,542.90,0.000,0.000,0.79,11
555311.000,33.6069822,73.1000697,542.90,0.005,0.000,0.79,11
555312.000,33.6069822,73.1000697,542.90,0.005,0.000,0.79,11
555313.000,33.6069822,73.1000697,542.90,0.000,0.000,0.79,11
555314.000,33.6069822,73.1000697,542.90,0.000,0.000,0.79,11
555315.000,33.6069823,73.1000697,542.90,0.000,0.000,0.79,11
555316.000,33.6069823,73.1000697,542.90,0.005,0.000,0.79,11
555317.000,33.6069823,73.1000697,542.90,0.000,0.000,0.79,11
555318.000,33.6069823,73.1000697,542.90,0.000,0.000,0.79,11
555319.000,33.6069823,73.1000697,542.90,0.000,0.000,0.79,11
555320.000,33.6069823,73.1000697,542.90,0.000,0.000,0.79,11
555321.000,33.6069823,73.1000697,542.90,0.000,0.000,0.79,11
555322.000,33.6069823,73.1000697,542.90,0.000,0.000,0.79,11
555323.000,33.6069825,73.1000697,542.90,0.005,0.000,0.79,11
555324.000,33.6069825,73.1000697,542.90,0.000,0.000,0.79,11
