gps_obssec(s),lat,lng,alt,vn,ve,hdop,no. of sats
595294.200,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595294.300,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595294.400,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595294.500,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595294.600,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595294.700,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595294.800,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595294.900,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595295.000,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595295.100,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595295.200,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595295.300,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595295.400,33.710001,73.090877,557.30,0.000,0.000,2.80,7
595295.500,33.710001,73.090878,557.30,0.000,0.000,2.80,7
595295.600,33.710001,73.090878,557.30,0.000,0.000,2.80,7
595295.700,33.710001,73.090878,557.30,0.000,0.000,2.80,7
595295.800,33.710001,73.090878,557.30,0.000,0.000,2.80,7
595295.900,33.710001,73.090878,557.20,0.000,0.000,2.80,7
595296.000,33.710001,73.090878,557.20,0.000,0.000,2.80,7
595296.100,33.710001,73.090878,557.20,0.000,0.000,2.80,7
595296.200,33.710001,73.090878,557.20,0.000,0.000,2.80,7
595296.300,33.710001,73.090878,557.20,0.000,0.000,2.80,7
595296.400,33.710001,73.090878,557.20,0.000,0.000,2.80,7
595296.500,33.710001,73.090878,557.20,0.000,0.000,2.80,7
595296.600,33.710001,73.090878,557.20,0.000,0.000,2.80,7
595296.700,33.710001,73.090878,557.20,0.000,0.000,2.80,7
595296.800,33.710001,73.090878,557.20,0.000,0.000,2.80,7
595296.900,33.710000,73.090878,557.20,0.000,0.000,2.80,7
595297.000,33.710000,73.090878,557.20,0.000,0.000,2.80,7
595297.100,33.710000,73.090878,557.20,0.000,0.000,2.80,7
595297.200,33.710000,73.090878,557.20,0.000,0.000,2.80,7
595297.300,33.710000,73.090879,557.20,0.000,0.000,2.80,7
595297.400,33.710000,73.090879,557.20,0.000,0.000,2.80,7
595297.500,33.710000,73.090879,557.20,0.000,0.000,2.80,7
595297.600,33.710000,73.090879,557.20,0.000,0.000,2.80,7
595297.700,33.710000,73.090879,557.20,0.000,0.000,2.80,7
595297.800,33.710000,73.090879,557.20,0.000,0.000,2.80,7
595297.900,33.710000,73.090879,557.20,0.000,0.000,2.80,7
595298.000,33.710000,73.090879,557.20,0.000,0.000,2.80,7
595298.100,33.709999,73.090879,557.20,0.000,0.000,2.80,7
595298.200,33.709999,73.090879,557.10,0.000,0.000,2.80,7
595298.300,33.709999,73.090879,557.10,0.000,0.000,2.80,7
595298.400,33.709999,73.090879,557.10,0.000,0.000,2.80,7
595298.500,33.709999,73.090880,557.10,0.000,0.000,2.80,7
595298.600,33.709999,73.090880,557.10,0.000,0.000,2.80,7
595298.700,33.709999,73.090880,557.10,0.000,0.000,2.80,7
595298.800,33.709999,73.090880,557.10,0.000,0.000,2.80,7
595298.900,33.709998,73.090880,557.10,0.000,0.000,2.80,7
595299.000,33.709998,73.090880,557.10,0.000,0.000,2.80,7
