GPStime,lat_deg,lon_deg,h_m,vn_mps,ve_mps
43394.7,33.713919,73.0883477,555.1,0,0
43394.8,33.713919,73.0883475,555.1,0,0
43394.9,33.713919,73.0883475,555.1,0,0
43395.1,33.7139192,73.0883475,555.1,0,0
43395.2,33.7139192,73.0883475,555.1,0,0
43395.3,33.7139192,73.0883473,555.1,0,0
43395.4,33.7139192,73.0883473,555.1,0,0
43395.5,33.7139192,73.0883473,555.1,0,0
43395.7,33.7139193,73.0883473,555.1,0,0
43395.8,33.7139193,73.0883472,555.1,0,0
43395.9,33.7139195,73.0883472,555.1,0,0
43396,33.7139195,73.088347,555.1,0,0
43396.2,33.7139197,73.088347,555.1,0,0
43396.3,33.7139197,73.088347,555.1,0,0
43396.4,33.7139197,73.0883468,555.1,0,0
43396.5,33.7139198,73.0883468,555.1,0,0
43396.7,33.7139198,73.0883468,555.1,0,0
43396.8,33.7139198,73.0883468,555.1,0,0
43396.9,33.7139198,73.0883467,555.1,0,0
43397,33.71392,73.0883467,555.1,0,0
43397.2,33.71392,73.0883465,555.1,0,0
43397.3,33.71392,73.0883465,555.1,0,0
43397.4,33.7139202,73.0883465,555.1,0,0
43397.5,33.7139202,73.0883463,555.1,0,0
43397.6,33.7139202,73.0883463,555.1,0,0
43397.8,33.7139203,73.0883462,555.1,0,0
43397.9,33.7139203,73.0883462,555.1,0,0
43398,33.7139205,73.0883462,555.1,0,0
43398.1,33.7139205,73.088346,555.1,0,0
43398.3,33.7139205,73.088346,555.1,0,0
43398.4,33.7139207,73.0883458,555.1,0,0
43398.5,33.7139207,73.0883458,555.1,0,0
43398.6,33.7139207,73.0883458,555.1,0,0
43398.7,33.7139208,73.0883457,555.1,0,0
43398.8,33.7139208,73.0883457,555.1,0,0
43399,33.7139208,73.0883457,555.1,0,0
43399.1,33.713921,73.0883455,555.1,0,0
43399.2,33.713921,73.0883455,555.1,0,0
43399.3,33.713921,73.0883453,555.1,0,0
43399.5,33.7139212,73.0883453,555.1,0,0
43399.6,33.7139212,73.0883453,555.1,0,0
43399.7,33.7139212,73.0883453,555.1,0,0
43399.8,33.7139213,73.0883452,555.1,0,0
43399.9,33.7139213,73.0883452,555.1,0,0
43400.1,33.7139213,73.088345,555.1,0,0
43400.2,33.7139215,73.088345,555.1,0,0
43400.3,33.7139215,73.088345,555.1,0,0
43400.4,33.7139217,73.0883448,555.1,0,0
43400.5,33.7139217,73.0883448,555.1,0,0
43400.6,33.7139217,73.0883448,555.1,0,0
43400.7,33.7139218,73.0883447,555.1,0,0
43400.8,33.7139218,73.0883447,555.1,0,0
43400.9,33.7139218,73.0883445,555.1,0,0
43401.1,33.713922,73.0883445,555.1,0,0
43401.2,33.713922,73.0883445,555.1,0,0
43401.3,33.713922,73.0883443,555.1,0,0
43401.4,33.7139222,73.0883443,555.1,0,0
43401.5,33.7139222,73.0883443,555.1,0,0
43401.6,33.7139222,73.0883442,555.1,0,0
43401.7,33.7139223,73.0883442,555.1,0,0
43401.8,33.7139223,73.0883442,555.1,0,0
43401.9,33.7139223,73.088344,555.1,0,0
43402,33.7139225,73.088344,555.1,0,0
43402.1,33.7139225,73.088344,555.1,0,0
43402.2,33.7139225,73.0883438,555.1,0,0
43402.3,33.7139225,73.0883438,555.1,0,0
43402.4,33.7139227,73.0883438,555.1,0,0
43402.5,33.7139227,73.0883437,555.1,0,0
43402.6,33.7139227,73.0883437,555,0,0
43402.7,33.7139227,73.0883437,555,0,0
43402.8,33.7139228,73.0883437,555,0,0
43402.9,33.7139228,73.0883437,555,0,0
43403,33.7139228,73.0883437,555,0,0
43403.1,33.7139228,73.0883437,555,0,0
43403.2,33.713923,73.0883437,555,0,0
43403.3,33.713923,73.0883435,555,0,0
43403.4,33.713923,73.0883435,555,0,0
43403.5,33.713923,73.0883435,555,0,0
43403.6,33.713923,73.0883435,555,0,0
43403.7,33.7139232,73.0883435,555,0,0
43403.8,33.7139232,73.0883435,554.9,0,0
43403.9,33.7139232,73.0883435,554.9,0,0
43404.1,33.7139233,73.0883433,554.9,0,0
43404.2,33.7139233,73.0883433,554.9,0,0
43404.3,33.7139233,73.0883433,554.9,0,0
43404.4,33.7139233,73.0883433,554.9,0,0
43404.5,33.7139235,73.0883433,554.9,0,0
43404.6,33.7139235,73.0883432,554.9,0,0
43404.7,33.7139235,73.0883432,554.9,0,0
43404.8,33.7139237,73.0883432,554.9,0,0
43404.9,33.7139237,73.088343,554.9,0,0
43405,33.7139237,73.088343,554.9,0,0
43405.1,33.7139238,73.088343,554.9,0,0
43405.2,33.7139238,73.0883428,554.9,0,0
43405.3,33.7139238,73.0883428,554.8,0,0
43405.4,33.713924,73.0883427,554.8,0,0
43405.5,33.713924,73.0883427,554.8,0,0
43405.6,33.7139242,73.0883427,554.8,0,0
43405.7,33.7139242,73.0883427,554.8,0,0
43405.8,33.7139242,73.0883427,554.8,0,0
43405.9,33.7139243,73.0883425,554.8,0,0
43406,33.7139243,73.0883425,554.8,0,0
43406.1,33.7139243,73.0883425,554.8,0,0
43406.2,33.7139245,73.0883425,554.8,0,0
43406.3,33.7139245,73.0883425,554.8,0,0
43406.4,33.7139247,73.0883423,554.8,0,0
43406.5,33.7139247,73.0883423,554.8,0,0
43406.6,33.7139247,73.0883423,554.8,0,0
43406.7,33.7139247,73.0883423,554.8,0,0
43406.9,33.7139248,73.0883423,554.7,0,0
43407,33.7139248,73.0883423,554.7,0,0
43407.1,33.7139248,73.0883423,554.7,0,0
43407.2,33.7139248,73.0883422,554.7,0,0
43407.3,33.713925,73.0883422,554.7,0,0
43407.4,33.713925,73.0883422,554.7,0,0
43407.5,33.713925,73.0883422,554.7,0,0
43407.6,33.713925,73.088342,554.7,0,0
43407.7,33.7139252,73.088342,554.7,0,0
43407.8,33.7139252,73.088342,554.7,0,0
43407.9,33.7139252,73.088342,554.7,0,0
43408,33.7139253,73.0883418,554.7,0,0
43408.1,33.7139253,73.0883418,554.7,0,0
43408.2,33.7139253,73.0883418,554.7,0,0
43408.3,33.7139255,73.0883417,554.7,0,0
43408.4,33.7139255,73.0883417,554.7,0,0
43408.5,33.7139255,73.0883417,554.7,0,0
43408.6,33.7139257,73.0883417,554.7,0,0
43408.7,33.7139257,73.0883415,554.7,0,0
43408.8,33.7139258,73.0883415,554.7,0,0
43408.9,33.7139258,73.0883415,554.7,0,0
43409,33.7139258,73.0883413,554.7,0,0
43409.1,33.713926,73.0883413,554.7,0,0
43409.2,33.713926,73.0883413,554.7,0,0
43409.3,33.7139262,73.0883412,554.6,0,0
43409.4,33.7139262,73.0883412,554.6,0,0
43409.5,33.7139263,73.0883412,554.6,0,0
43409.6,33.7139263,73.088341,554.6,0,0
43409.8,33.7139265,73.088341,554.6,0,0
43409.9,33.7139265,73.088341,554.6,0,0
43410,33.7139267,73.088341,554.6,0,0
43410.1,33.7139267,73.0883408,554.6,0,0
43410.2,33.7139268,73.0883408,554.6,0,0
43410.3,33.7139268,73.0883407,554.6,0,0
43410.4,33.713927,73.0883407,554.6,0,0
43410.5,33.713927,73.0883407,554.6,0,0
43410.6,33.7139272,73.0883405,554.6,0,0
43410.7,33.7139272,73.0883405,554.6,0,0
43410.8,33.7139273,73.0883403,554.6,0,0
43410.9,33.7139273,73.0883403,554.6,0,0
43411,33.7139275,73.0883402,554.6,0,0
43411.1,33.7139275,73.0883402,554.6,0,0
43411.2,33.7139275,73.0883402,554.6,0,0
43411.3,33.7139277,73.08834,554.6,0,0
43411.4,33.7139277,73.08834,554.6,0,0
43411.5,33.7139278,73.0883398,554.6,0,0
43411.6,33.7139278,73.0883398,554.6,0,0
43411.7,33.713928,73.0883397,554.6,0,0
43411.8,33.713928,73.0883397,554.6,0,0
43411.9,33.713928,73.0883397,554.6,0,0
43412,33.7139282,73.0883395,554.5,0,0
43412.1,33.7139282,73.0883395,554.5,0,0
43412.2,33.7139283,73.0883395,554.5,0,0
43412.3,33.7139283,73.0883393,554.5,0,0
43412.4,33.7139283,73.0883393,554.5,0,0
43412.5,33.7139285,73.0883393,554.5,0,0
43412.6,33.7139285,73.0883392,554.5,0,0
43412.7,33.7139287,73.0883392,554.5,0,0
43412.8,33.7139287,73.0883392,554.5,0,0
43412.9,33.7139288,73.088339,554.5,0,0
43413,33.7139288,73.088339,554.5,0,0
43413.1,33.713929,73.088339,554.5,0,0
43413.2,33.713929,73.0883388,554.5,0,0
43413.3,33.713929,73.0883388,554.5,0,0
43413.4,33.7139292,73.0883388,554.4,0,0
43413.5,33.7139292,73.0883387,554.4,0,0
43413.6,33.7139293,73.0883387,554.4,0,0
43413.7,33.7139293,73.0883387,554.4,0,0
43413.8,33.7139295,73.0883387,554.4,0,0
43413.9,33.7139295,73.0883385,554.4,0,0
43414,33.7139297,73.0883385,554.4,0,0
43414.1,33.7139297,73.0883385,554.4,0,0
43414.2,33.7139297,73.0883383,554.4,0,0
43414.3,33.7139298,73.0883383,554.4,0,0
43414.4,33.7139298,73.0883383,554.4,0,0
43414.5,33.71393,73.0883382,554.4,0,0
43414.6,33.71393,73.0883382,554.4,0,0
43414.7,33.7139302,73.0883382,554.4,0,0
43414.8,33.7139302,73.088338,554.4,0,0
43414.9,33.7139303,73.088338,554.4,0,0
43415,33.7139303,73.088338,554.4,0,0
43415.1,33.7139305,73.0883378,554.4,0,0
43415.2,33.7139305,73.0883378,554.4,0,0
43415.4,33.7139305,73.0883378,554.4,0,0
43415.5,33.7139307,73.0883378,554.4,0,0
43415.6,33.7139308,73.0883378,554.3,0,0
43415.7,33.7139308,73.0883378,554.3,0,0
43415.9,33.713931,73.0883378,554.3,0,0
43416,33.7139312,73.0883378,554.3,0,0
43416.1,33.7139312,73.0883378,554.3,0,0
43416.2,33.7139313,73.0883378,554.3,0,0
43416.3,33.7139313,73.0883378,554.3,0,0
43416.4,33.7139315,73.0883378,554.3,0,0
43416.5,33.7139315,73.0883378,554.3,0,0
43416.6,33.7139317,73.0883378,554.2,0,0
43416.7,33.7139318,73.0883378,554.2,0,0
43416.8,33.7139318,73.0883378,554.2,0,0
43417,33.713932,73.0883378,554.2,0,0
43417.1,33.713932,73.0883377,554.2,0,0
43417.2,33.7139322,73.0883377,554.2,0,0
43417.3,33.7139322,73.0883377,554.2,0,0
43417.4,33.7139322,73.0883377,554.2,0,0
43417.5,33.7139323,73.0883377,554.2,0,0
43417.6,33.7139323,73.0883377,554.2,0,0
43417.7,33.7139325,73.0883377,554.2,0,0
43417.8,33.7139325,73.0883375,554.2,0,0
43417.9,33.7139327,73.0883375,554.2,0,0
43418,33.7139327,73.0883375,554.2,0,0
43418.1,33.7139328,73.0883375,554.2,0,0
43418.2,33.7139328,73.0883375,554.2,0,0
43418.3,33.713933,73.0883375,554.1,0,0
43418.4,33.713933,73.0883375,554.1,0,0
43418.5,33.713933,73.0883375,554.1,0,0
43418.6,33.7139332,73.0883375,554.1,0,0
43418.7,33.7139332,73.0883373,554.1,0,0
43418.8,33.7139332,73.0883373,554.1,0,0
43418.9,33.7139333,73.0883373,554.1,0,0
43419,33.7139333,73.0883373,554.1,0,0
43419.1,33.7139333,73.0883372,554.1,0,0
43419.2,33.7139335,73.0883372,554.1,0,0
43419.3,33.7139335,73.0883372,554.1,0,0
43419.4,33.7139335,73.0883372,554.1,0,0
43419.5,33.7139337,73.0883372,554.1,0,0
43419.6,33.7139337,73.088337,554.1,0,0
43419.7,33.7139337,73.088337,554.1,0,0
43419.8,33.7139337,73.088337,554.1,0,0
43419.9,33.7139338,73.088337,554.1,0,0
43420,33.7139338,73.088337,554.1,0,0
43420.2,33.7139338,73.088337,554.1,0,0
43420.3,33.7139338,73.0883368,554.1,0,0
43420.4,33.713934,73.0883368,554.1,0,0
43420.5,33.713934,73.0883368,554.1,0,0
43420.6,33.713934,73.0883368,554.1,0,0
43420.7,33.713934,73.0883368,554.1,0,0
43420.8,33.713934,73.0883367,554.1,0,0
43420.9,33.713934,73.0883367,554.1,0,0
43421,33.713934,73.0883367,554.1,0,0
